NAME,neighbourhood_group,neighbourhood,room_type,price,number_of_reviews,last_review
LOVELY 3 BEDROOM IN ITALIANATE BROWNSTONE W/GARDEN,Manhattan,Lower East Side,Private room,95,109,23/06/2019
"WILLIAMSBURG HUGE, PRIVATE BATH - NEXT TO TRAIN!",Brooklyn,Williamsburg,Entire home/apt,140,9,16/02/2019
COZY ROOM IN EAST VILLAGE WITH AC,Manhattan,Harlem,Entire home/apt,135,187,23/06/2019
DUPLEX W/ TERRACE @ BOX HOUSE HOTEL,Brooklyn,Park Slope,Entire home/apt,150,214,23/06/2019
LOFT W/ TERRACE @ BOX HOUSE HOTEL,Brooklyn,Gowanus,Entire home/apt,190,69,01/07/2019
SPACIOUS 3 BEDROOM DUPLEX IN PARK SLOPE,Manhattan,East Harlem,Entire home/apt,124,22,15/06/2019
LOFT W/ TERRACE @ BOX HOUSE HOTEL,Brooklyn,Williamsburg,Entire home/apt,135,56,06/05/2019
COLUMBIA CASTLE 2 BR,Manhattan,Morningside Heights,Private room,122,93,22/06/2019
"CHARMING ARTIST'S FLAT, EAST VILLAGE",Manhattan,Upper West Side,Private room,109,104,25/06/2019
BEAUTIFUL 2 BEDROOM APARTMENT,Manhattan,Harlem,Private room,85,64,06/07/2018
BROOKLYN COVE STUDIO APT W/ GARDEN!!,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,127,24/06/2019
"FT. GREENE GARDEN GEM, LARGE AND CONVENIENT",Manhattan,Upper West Side,Entire home/apt,195,30,13/06/2019
WILLIAMSBURG PENTHOUSE WITH PRIVATE ROOF CABANA,Brooklyn,Carroll Gardens,Entire home/apt,250,106,27/06/2019
SUPERIOR @ BOX HOUSE,Brooklyn,Greenpoint,Private room,125,6,13/11/2016
LARGE STUDIO--HEART OF EAST VILLAGE,Manhattan,Little Italy,Entire home/apt,575,191,20/06/2019
HUGE.BRIGHT.CLEAN.SAFE. PRIVATE ROOM,Manhattan,Upper West Side,Entire home/apt,150,48,11/06/2019
GARDEN 1BR/1BA BROWNSTONE APT - 2 BLOCKS TO SUBWAY,Brooklyn,Bushwick,Private room,70,47,29/06/2019
MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,Manhattan,Inwood,Private room,90,120,30/06/2019
"WONDERFUL, COMFORTABLE STUDIO",Manhattan,East Village,Private room,65,52,10/01/2019
MAISON DES SIRENES 2,Manhattan,East Village,Entire home/apt,500,48,16/06/2019
"MODERN, SAFE, CLEAN, BRIGHT ROOM IN ASTORIA FOR 2",Manhattan,Washington Heights,Entire home/apt,250,32,24/05/2019
THE VERNON ON GREENE,Manhattan,Chinatown,Entire home/apt,125,43,17/06/2019
"BEAUTIFUL, BRIGHT¬ÄôS, WARM & SPACIOUS 1.5BR APT",Manhattan,West Village,Entire home/apt,200,39,25/06/2019
SPACIOUS LOFT IN CLINTON HILL,Brooklyn,Greenpoint,Entire home/apt,229,50,13/05/2014
"THE BROOKLYN WAVERLY, ONE BEDROOM",Bronx,Kingsbridge,Entire home/apt,90,4,02/01/2019
GROOVY NYC CHELSEA PAD,Brooklyn,Greenpoint,Private room,59,29,16/06/2019
SUNNY BKLYN JEWEL  FORT GREENE JULY  - AUG 2019,Brooklyn,Williamsburg,Entire home/apt,195,59,23/06/2019
"MANHATTAN NEAT, NICE, BRIGHT ROOM",Brooklyn,Williamsburg,Entire home/apt,169,68,07/06/2019
BIENVENUE,Manhattan,East Harlem,Entire home/apt,113,26,25/11/2015
LARGE BRAND NEW PARK SLOPE 1BR,Manhattan,Harlem,Entire home/apt,250,31,22/08/2012
UWS BROWNSTONE NEAR CENTRAL PARK,Queens,Astoria,Entire home/apt,115,198,31/05/2019
2 BR W/ TERRACE @ BOX HOUSE HOTEL,Brooklyn,Williamsburg,Private room,69,220,22/06/2019
BOHEMIAN EAST VILLAGE 2 BED HAVEN,Manhattan,Lower East Side,Entire home/apt,150,286,27/06/2019
OCEANFRONT APARTMENT IN ROCKAWAY,Brooklyn,South Slope,Entire home/apt,169,398,28/06/2019
PRIVATE 1-BEDROOM APT IN TOWNHOUSE,Brooklyn,Greenpoint,Private room,179,36,01/07/2019
BRIGHT ROOM WITH A GREAT RIVER VIEW,Manhattan,Hell's Kitchen,Private room,150,36,14/06/2019
SWEET HISTORIC GREENPOINT DUPLEX,Brooklyn,Clinton Hill,Entire home/apt,350,14,20/04/2019
RIVERSIDE CHARM WITH FIRE PLACE,Brooklyn,Williamsburg,Private room,120,76,31/03/2019
"VERY CENTRAL, NOMAD/CHELSEA LOFT STUDIO",Manhattan,East Village,Private room,71,182,04/07/2019
SUNNY 3BR APT IDEAL FOR FAMILY  ,Brooklyn,Greenpoint,Private room,349,8,27/03/2016
UES QUIET & SPACIOUS 1 BDRM FOR 4,Brooklyn,Greenpoint,Private room,349,7,24/05/2019
ALL ABOUT A VERY COMFORTABLE ROOM..,Brooklyn,Park Slope,Entire home/apt,165,34,25/09/2018
BROOKLYN- CROWN HEIGHTS GARDEN APT.,Brooklyn,Greenpoint,Private room,249,2,12/05/2011
LARGE PARK SLOPE TOWNHOUSE DUPLEX,Brooklyn,Brooklyn Heights,Entire home/apt,200,80,30/06/2019
LOWER EAST SIDE 2 BEDROOM APT,Manhattan,East Village,Entire home/apt,169,240,06/06/2019
SUN-DRENCHED HAMILTON HTS JEWEL   ,Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,46,02/07/2019
YOUR STUNNING VACATION APARTMENT!,Brooklyn,Bushwick,Entire home/apt,65,228,10/06/2019
1 BDRM APT-WEEKEND SUBLEASE,Brooklyn,Fort Greene,Entire home/apt,130,5,03/09/2018
ROOM WITH A  KITCHENETTE,Brooklyn,Williamsburg,Entire home/apt,199,8,26/08/2018
STYLE IN STUYVESANT HEIGHTS,Brooklyn,Greenpoint,Private room,179,13,27/06/2019
WILLIAMSBURG APARTMENT RIGHT BY THE SUBWAY,Manhattan,East Village,Entire home/apt,139,388,26/06/2019
SPACIOUS BROOKLYN LOFT - 2 BEDROOM,Manhattan,Two Bridges,Private room,95,223,23/06/2019
"PARK SLOPE APT:, SPACIOUS 2 BEDROOM",Brooklyn,Crown Heights,Entire home/apt,79,11,14/01/2019
NYC STUDIO FOR RENT IN TOWNHOUSE,Manhattan,Lower East Side,Entire home/apt,150,151,24/06/2019
¬ä°QUIET GEM W/ROOF DECK ON NY'S HOTTEST STREET¬ä°,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,218,28/06/2019
AUTHENTIC NEW YORK CITY LIVING ,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,75,23/06/2019
SUPER BIG AND COZY PRIVATE BEDROOM,Queens,Astoria,Private room,80,42,06/07/2019
¬òÜMASSIVE DUPLEX¬òÜ 2BR & 2BTH EAST VILLAGE 9+ GUESTS,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,370,05/07/2019
"LUXE, SPACIOUS 2BR 2BA NR TRAINS",Brooklyn,Crown Heights,Entire home/apt,120,104,21/06/2019
COZY AND BRIGHT ONE BEDROOM IN BK,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,4,26/12/2018
FOREST HILLS APT MINUTES TO MIDTOWN MANHATTAN,Brooklyn,Clinton Hill,Private room,165,11,07/06/2019
MIDTOWN COZY CONVENIENT,Manhattan,Kips Bay,Entire home/apt,125,1,03/01/2012
PRIME WILLIAMSBURG APARTMENT,Manhattan,Chelsea,Entire home/apt,130,19,11/06/2018
GARDEN APARTMENT CLOSE TO MANHATTAN,Brooklyn,Fort Greene,Entire home/apt,123,15,01/05/2019
STUNNING ARTY 3200SF 3FLR+3BR TOWNHOME W/TERRACE,Manhattan,Washington Heights,Private room,67,136,17/06/2019
SUNNY AND SPACIOUS DESIGNER'S HOME,Queens,Queens Village,Private room,50,43,08/07/2019
TRULY AMAZING OASIS IN THE CITY,Brooklyn,Gowanus,Entire home/apt,130,98,28/06/2019
AFFORDABLE FURNISHED APARTMENT,Manhattan,Upper West Side,Entire home/apt,212,45,01/01/2018
ARCHITECT'S BROWNSTONE,Brooklyn,Williamsburg,Entire home/apt,190,124,26/06/2019
CHARMING NOLITA APARTMENT!!,Brooklyn,Greenpoint,Private room,599,9,19/05/2018
LUXURY OF THE HORIZON,Manhattan,East Village,Entire home/apt,249,166,27/05/2019
THREE-BEDROOM HOUSE IN A QUIET NEIGHBORHOOD,Queens,Rockaway Beach,Private room,70,13,21/09/2015
BEAUTIFUL DUPLEX W/PRIVATE GARDEN,Brooklyn,Crown Heights,Entire home/apt,100,15,05/01/2019
GARAGE DESIGNER LOFT,Manhattan,Harlem,Private room,60,380,26/06/2019
BEST CITY AREA COLUMBIA U UPPER WEST SIDE C PARK,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,86,16/06/2019
ARTSY 1 BEDROOM APT. 20 MIN TO 42ND GRAND CENTRAL!,Brooklyn,Greenpoint,Entire home/apt,175,248,20/06/2019
ASTORIA-PRIVATE HOME NYC-,Manhattan,Upper West Side,Entire home/apt,120,49,19/06/2019
CHARMING PRIVATE BEDROOM EAST VILLAGE,Manhattan,Midtown,Entire home/apt,169,54,03/07/2019
CITY ROOM - SEMI PRIVATE BEDROOM,Brooklyn,Crown Heights,Entire home/apt,165,3,01/01/2013
FEMALE ONLY CLEAN15MIN TO MANHATTAN,Manhattan,Upper East Side,Entire home/apt,225,56,28/12/2018
GREENPOINT SPACIOUS LOFT,Brooklyn,Fort Greene,Private room,95,163,24/05/2019
PRIVATE E. VILLAGE TOWNHOUSE STAY,Brooklyn,Crown Heights,Private room,55,247,21/06/2019
HARLEM/HAMILTON HEIGHTS COZY ROOM,Manhattan,Hell's Kitchen,Private room,85,116,11/05/2019
INCREDIBLE PRIME WILLIAMSBURG LOFT!,Brooklyn,South Slope,Entire home/apt,199,27,19/05/2019
LARGE  LOFT STYLE  STUDIO  SPACE,Manhattan,Lower East Side,Entire home/apt,211,52,08/06/2019
ENTIRE APT IN HEART OF WILLIAMSBURG,Manhattan,Harlem,Private room,65,35,01/06/2019
CLINTON HILL + FREE COFFEE = #SMILE,Manhattan,Harlem,Entire home/apt,99,320,23/06/2019
PRIVATE AND SUNNY WILLIAMSBURG APT!,Queens,Astoria,Entire home/apt,110,30,16/06/2019
PURPLE ROOM FOR 2/3 IN BROWNSTONE $1450 PER MONTH,Brooklyn,Crown Heights,Entire home/apt,80,225,24/06/2019
RED ROOM FOR TWO IN BROWNSTONE FOR $1355/MO,Brooklyn,Brooklyn Heights,Entire home/apt,150,95,26/05/2018
IN THE HEART OF EAST VILLAGE,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,70,28/06/2019
SUNNY 15MIN TO MANHATTAN LADY ONLY,Manhattan,Chelsea,Private room,290,35,03/01/2019
MANHATTAN PENTHOUSE-MAX.12 GUESTS,Brooklyn,Williamsburg,Entire home/apt,190,50,02/07/2019
PRIME WILLIAMSBURG 3 BR WITH DECK,Brooklyn,Williamsburg,Entire home/apt,200,29,23/06/2019
BEAUTIFUL BROOKLYN OASIS ,Brooklyn,Park Slope,Entire home/apt,165,23,02/05/2016
COOL & SPACIOUS HARLEM ARTIST FLAT,Manhattan,Harlem,Entire home/apt,110,142,16/06/2019
¬òÜ STUDIO EAST VILLAGE ¬òÜ OWN BATH! ¬òÜ SLEEPS 4 ¬òÜ,Manhattan,East Village,Entire home/apt,395,70,01/07/2019
GREENPOINT LOFT / LE CHEZ ANDREA,Brooklyn,Bedford-Stuyvesant,Private room,99,38,03/06/2019
"*SOHO: CLEAN, SAFE, PRIVATE, PEACEFUL BEDROOM (A)*",Brooklyn,Kensington,Private room,39,82,19/05/2019
COULDN'T BE CLOSER TO COLUMBIA UNI2,Manhattan,East Village,Entire home/apt,189,403,07/07/2019
NICE MANHATTAN APT NEAR CENTRAL PARK AND SUBWAY,Brooklyn,Gowanus,Entire home/apt,260,3,04/08/2014
SPACIOUS QUIET RM - 20MINS TO MIDTOWN,Manhattan,Harlem,Entire home/apt,122,116,13/06/2019
SPACIOUS MODERN STUDIO APARTMENT IN MANHATTAN,Brooklyn,Greenpoint,Entire home/apt,165,175,07/07/2019
CBG# 4TINY ROOM W/ HUGE WINDOW/AC,Queens,Forest Hills,Entire home/apt,97,28,01/07/2019
"SUNNY, QUIET, LEGAL HOMELIKE SUITE-PK SLOPE SOUTH",Manhattan,Murray Hill,Private room,130,105,06/06/2019
SPACIOUS DUPLEX IN BROWNSTONE!,Brooklyn,Williamsburg,Entire home/apt,225,22,30/05/2019
LOVELY VINTAGE HAVEN¬ÄîHEART OF UWS,Brooklyn,East Flatbush,Private room,50,263,24/06/2019
MODERN SPACE IN CHARMING PRE-WAR,Brooklyn,Fort Greene,Entire home/apt,170,86,20/06/2019
CREATIVE VINTAGE LOFT IN S. WILLIAMSBURG,Brooklyn,Park Slope,Entire home/apt,250,18,27/05/2019
"FORT GREENE, BROOKLYN: FRONT BEDROOM",Brooklyn,Greenpoint,Entire home/apt,141,8,08/07/2018
GORGEOUS 1 BDRM IN HUGE DUPLEX!,Brooklyn,Crown Heights,Entire home/apt,64,70,31/01/2019
"SUNNY, COZY ROOM IN LOWER EAST SIDE",Brooklyn,Williamsburg,Entire home/apt,249,150,05/07/2019
COZY PRE-WAR HARLEM APARTMENT,Manhattan,East Village,Entire home/apt,185,69,26/05/2019
SPACIOUS STUDIO,Brooklyn,Boerum Hill,Entire home/apt,120,232,22/06/2019
"ELEGANT 2-BR DUPLEX, UNION SQUARE",Brooklyn,Park Slope,Entire home/apt,495,35,13/01/2018
EAST VILLAGE BEDROOM W ROOFTOP,Manhattan,Nolita,Entire home/apt,175,68,10/06/2019
BRAND NEW BEAUTIFUL DUPLEX APARTMENT WITH GARDEN,Manhattan,Harlem,Entire home/apt,259,17,18/05/2019
ULTRA MODERN NYC GARDEN APARTMENT,Brooklyn,Windsor Terrace,Entire home/apt,250,52,27/04/2019
MODERN GARDEN APARTMENT IN NYC,Manhattan,Harlem,Entire home/apt,295,74,16/06/2019
COZY STUDIO APARTMENT IN UPPER EAST,Brooklyn,Williamsburg,Entire home/apt,451,72,11/05/2019
HISTORIC CLASSIC CENTRAL COZY VILLAGE CLEAN NYU,Manhattan,Upper West Side,Entire home/apt,165,191,29/06/2019
A PRIVATE FLAT / APARTMENT- $SPECIAL$,Bronx,Woodlawn,Entire home/apt,77,197,23/06/2019
WEST VILLAGE LRG CLEAN SUNNY PRIVATE BDRM,Queens,Astoria,Entire home/apt,129,414,03/07/2019
"""THE OASIS"" ON BEDFORD WILLIAMSBURG",Manhattan,East Village,Private room,95,25,12/02/2019
"LARGE, SUNNY GARDEN APARTMENT.",Manhattan,Harlem,Private room,55,119,28/05/2019
HELL'S KITCHEN FUNKY 80'S HIDEAWAY!,Manhattan,Harlem,Entire home/apt,300,203,06/07/2019
ROOM IN CHIC MODERN HIGH LINE LUXURY- NEW!,Queens,Sunnyside,Private room,42,53,16/11/2018
FAMILY & FRIENDS IN NEW YORK CITY,Brooklyn,Greenpoint,Entire home/apt,125,104,16/06/2019
SPACIOUS & COMFY BK BROWNSTONE,Manhattan,East Village,Private room,175,175,28/06/2019
LARGE LUXURY UPPER EAST SIDE STUDIO,Manhattan,Harlem,Private room,75,38,08/05/2018
CHATEAU STYLE BROOKLYN LOFT FOR SINGLES OR COUPLES,Brooklyn,Williamsburg,Entire home/apt,255,39,02/05/2019
LOVELY BROOKLYN BROWNSTONE 1BR!,Brooklyn,Bedford-Stuyvesant,Entire home/apt,72,88,16/06/2019
BEAUTIFUL GRDN. APT. IN PARK SLOPE,Brooklyn,Bedford-Stuyvesant,Private room,165,27,08/10/2017
SUN-DRENCHED EAST VILLAGE PENTHOUSE,Brooklyn,Williamsburg,Entire home/apt,165,117,29/06/2019
COLUMBUS CIRCLE LUXURY BLDG - PRIVATE ROOM&BATH,Brooklyn,Clinton Hill,Private room,75,43,20/05/2019
"SPACIOUS, KID-FRIENDLY, AND 15-20 MINS. TO MIDTOWN",Brooklyn,Williamsburg,Entire home/apt,139,385,29/06/2019
LARGE ROOM OVERLOOKING CENTRAL PARK,Brooklyn,Bedford-Stuyvesant,Private room,88,64,01/07/2019
"CHEERFUL, COMFORTABLE ROOM",Brooklyn,Bedford-Stuyvesant,Private room,80,39,24/06/2019
LOFT STYLE APT IN WILLIAMSBURG,Manhattan,East Village,Entire home/apt,200,103,24/06/2019
2 BEDS OVER BED-STUY,Queens,Sunnyside,Private room,42,41,01/06/2019
QUIET JR ALCOVE NEAR TIMES SQUARE!,Manhattan,Harlem,Entire home/apt,295,227,26/06/2019
LARGE ROOM IN ELEVATOR DRMAN BLDG,Brooklyn,Williamsburg,Entire home/apt,450,37,27/12/2018
"COMFY, COZY, BROOKLYN CLOSE TO MANHATTAN",Brooklyn,Crown Heights,Entire home/apt,130,29,28/06/2019
SUNNY SPACE IN WILLIAMSBURG,Manhattan,Harlem,Entire home/apt,198,42,03/06/2019
STYLISH EAST VILLAGE FLAT,Manhattan,East Village,Entire home/apt,99,280,05/07/2019
SERENE PARK SLOPE GARDEN APARTMENT,Brooklyn,Greenpoint,Private room,46,86,08/06/2019
ST. JAMES PL GARDEN STUDIO 1BLOCK TO PRATT &GTRAIN,Manhattan,SoHo,Private room,140,54,16/06/2019
COMFORTABLE. SPACIOUS. PRIVATE ROOM.,Manhattan,Morningside Heights,Private room,75,57,01/01/2019
MODERN CONDO IN MIDTOWN,Queens,Sunnyside,Private room,33,31,01/05/2019
IDEAL BROOKLYN BROWNSTONE APARTMENT,Manhattan,Upper West Side,Entire home/apt,250,188,23/08/2018
PRIVATE ENTRANCE - PRIVATE PARKING,Manhattan,Washington Heights,Private room,75,34,15/06/2019
WILLIAMSBURG EXPOSED BRICK LOFT,Manhattan,Chelsea,Entire home/apt,205,3,13/05/2018
WELCOME TO BROOKLYN! BED-STUY,Brooklyn,Park Slope,Private room,60,20,24/08/2018
SUNNYSIDE NYC/ AC ROOM/ CITY VIEWS/ NEAR MIDTOWN,Manhattan,Upper West Side,Entire home/apt,185,129,07/06/2019
2-BEDROOM SHARE IN HEART OF GREENWICH VILLAGE!,Manhattan,East Village,Entire home/apt,190,147,30/06/2019
1 BEDROOM PRE WAR APT,Brooklyn,South Slope,Entire home/apt,105,101,01/07/2019
NEW CLEAN SPACIOUS BED & BREAKFAST,Manhattan,East Harlem,Entire home/apt,250,11,02/01/2016
"SUNNY, CALM ROOM IN VICTORIAN HOME",Manhattan,Upper West Side,Entire home/apt,175,11,15/10/2013
MODERN UNIQUE STUDIO IN NYC,Manhattan,Harlem,Private room,65,41,16/06/2019
"LUXURY FURNISHED 1 BEDRO, BAY RIDGE",Bronx,University Heights,Private room,37,117,21/05/2019
YOUR HAVEN IN THE UPPER WEST SIDE,Brooklyn,Williamsburg,Entire home/apt,85,86,16/05/2019
A COZY BROOKLYN HIDEAWAY,Brooklyn,Fort Greene,Private room,85,35,02/07/2019
¬åø¬åø¬åø COUNTRY COTTAGE IN THE CITY¬åø¬åø¬åø,Manhattan,Harlem,Private room,170,17,01/10/2015
¬åø¬åø¬åø COUNTRY COTTAGE IN THE CITY¬åø¬åø¬åø,Manhattan,Lower East Side,Private room,115,3,15/02/2016
"LOVELY BDR IN HARLEM, MANHATTAN",Manhattan,Harlem,Private room,89,43,03/01/2018
THE BEST DEAL ON THE HUDSON RIVER!!,Manhattan,Harlem,Shared room,49,168,06/07/2019
NEWLY RENO¬ÄôD CHIC QUIET EXEC 1BR,Brooklyn,Greenpoint,Private room,91,241,24/06/2019
LARGE ARTIST FLOORTHRU- GREENPOINT,Manhattan,Gramercy,Entire home/apt,400,105,23/06/2019
BEST DEAL IN CHELSEA 1 BDRM NYC,Brooklyn,Crown Heights,Entire home/apt,97,31,23/10/2018
LOVELY APARTMENT,Manhattan,East Village,Private room,100,49,07/05/2019
ARTSY LOFT-LIKE HARLEM APARTMENT,Brooklyn,Williamsburg,Entire home/apt,179,23,13/04/2019
HARLEM/MANHATTAN CLASSIC APARTMENT,Brooklyn,Greenpoint,Entire home/apt,500,20,24/06/2019
BROOKLYN B & B CLOSE TO MANHATTAN,Manhattan,Kips Bay,Entire home/apt,189,90,23/06/2019
THE NOTORIOUS B.N.B. { THE ERHART },Manhattan,Lower East Side,Private room,120,99,27/06/2019
SUNNY COZY MULTILEVELED APARTMENT!,Manhattan,Nolita,Entire home/apt,300,6,28/06/2019
SUNNY 2 BEDROOM WILLIAMSBURG DUPLEX W/ 3 BEDS,Queens,Astoria,Entire home/apt,107,21,01/12/2018
ROOM WITH KITCHENETTE #2,Queens,Astoria,Entire home/apt,95,24,04/04/2019
ALPHA-BET CITY ENTIRE FLOOR LARGE COOL 2BR -L.E.S,Manhattan,Harlem,Entire home/apt,199,111,02/06/2019
"YOUR HAVEN AWAITS AT ""EMMA'S PLACE""",Manhattan,East Harlem,Entire home/apt,120,86,20/06/2019
"SPACIOUS, KID-FRIENDLY 2 BR IN WEST VILLAGE",Manhattan,West Village,Entire home/apt,199,66,29/04/2019
GREAT BEDROOM IN DOWNTOWN MANHATTAN,Bronx,Allerton,Entire home/apt,125,271,20/06/2019
BEAUTIFUL BROWNSTONE,Brooklyn,Williamsburg,Private room,70,227,18/06/2019
COMFY ROOM/COFFEE AND BAGEL/WEEKLY DISCOUNT,Manhattan,West Village,Private room,100,5,03/12/2018
APT WITH EMPIRESTATE VIEW-SUBWAY AROUND THE CORNER,Brooklyn,Bedford-Stuyvesant,Entire home/apt,99,187,10/06/2019
MONTHLY APARTMENT RENTAL,Brooklyn,Williamsburg,Entire home/apt,350,1,01/01/2016
WONDERFULLY INVITING EAST VILLAGE,Brooklyn,Prospect Heights,Entire home/apt,170,67,20/10/2018
"LOVELY PIED-√†-TERRE, IN AN HISTORIC BUILDING",Manhattan,Hell's Kitchen,Private room,99,89,01/07/2019
"SPACIOUS, WELL FURNISHED, HIGH FL. BEAUTIFUL VIEWS",Manhattan,Chelsea,Private room,255,1,20/04/2014
NYC STUDIO IN HEART OF TIMES SQUARE,Brooklyn,East New York,Entire home/apt,169,177,29/06/2019
ROOMS FOR RENT IN QUEENS WITH PIANO,Brooklyn,Crown Heights,Entire home/apt,99,90,30/06/2019
LARGE SUNNY LUXE PRVT ROOM/MIDTOWN,Manhattan,Upper East Side,Entire home/apt,169,39,07/07/2019
SPACIOUS STUNNING HARLEM TOWNHOUSE,Brooklyn,Bedford-Stuyvesant,Entire home/apt,160,42,18/05/2019
PRIVATE ROOM WITH GREAT LOCATION,Brooklyn,Prospect Heights,Entire home/apt,215,33,08/05/2019
LARGE ARTSY ROOM W/ LOFT BED 4 DOOGLERS!,Brooklyn,Park Slope,Entire home/apt,130,179,29/05/2019
STYLISH STUDIO WITH EXCLUSIVE TERRACE,Manhattan,East Village,Private room,110,81,28/03/2019
"LES PRIVATE APT, 1 BEDROOM & MORE",Manhattan,Hell's Kitchen,Private room,150,43,29/06/2019
"WILLIAMSBURG GARDEN HOME, 5 MINUTES FROM MANHATTAN",Brooklyn,Williamsburg,Private room,65,52,31/10/2018
"HUGE, MODERN 2-LEVEL BROOKLYN APT",Queens,Sunnyside,Private room,75,160,25/06/2019
ASTORIA GARDEN SUITE,Manhattan,Upper West Side,Private room,89,35,18/06/2017
PRIVATE ROOM IN FORT GREEN BK CLOSE TO CITY,Manhattan,Washington Heights,Private room,50,225,12/06/2019
PRIVATE ROOM NEAR BROOKLYN MUSEUM ,Brooklyn,Prospect-Lefferts Gardens,Private room,43,401,04/07/2019
THE NOTORIOUS B.N.B. { THE WALLACE },Brooklyn,Prospect-Lefferts Gardens,Private room,42,72,17/06/2019
GREAT STUDIO IN W. VILLAGE - NYC!,Brooklyn,Williamsburg,Private room,85,46,30/12/2018
THE NOTORIOUS B.N.B. { THE SWOON },Brooklyn,Bedford-Stuyvesant,Entire home/apt,139,83,23/06/2019
2BR  APT - 20MIN TO SOHO,Brooklyn,Park Slope,Private room,105,211,15/06/2019
ONE FABULOUS PRIVATE ROOM,Manhattan,Hell's Kitchen,Entire home/apt,149,122,23/06/2019
NY/ BIG ROOM FOR 2 NEAR MANHATTAN,Manhattan,Harlem,Private room,68,295,12/06/2019
BROOKLYN BROWNSTONE APARTMENT,Brooklyn,Bedford-Stuyvesant,Entire home/apt,99,207,07/07/2019
BIG 1 BEDROOM APT VERY CENTRAL,Manhattan,Harlem,Private room,75,50,30/03/2019
"LOVELY, LARGE ROOM IN CROWN HEIGHTS",Brooklyn,Williamsburg,Private room,100,273,24/06/2019
QUALITY COZY STUDIO NEXT TO SUBWAY,Manhattan,East Village,Entire home/apt,160,25,30/04/2018
SCANDINAVIAN-APT FOR UP TO 5. LES,Brooklyn,Park Slope,Entire home/apt,190,105,11/05/2019
AT A VERY NICE AREA IN THE WESTSIDE,Brooklyn,Clinton Hill,Entire home/apt,248,58,04/06/2019
HANCOCK VERY SMALL ROOM,Brooklyn,Williamsburg,Private room,100,8,17/09/2015
THE LENOX IN HARLEM,Manhattan,Chinatown,Private room,95,172,02/07/2019
 HEART & SOUL OF GREENWICH VILLAGE ,Manhattan,Theatre District,Private room,150,330,20/06/2019
PRIME WILLIAMSBURG LOFT OFF BEDFORD,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,123,11/06/2019
PRIVATE BDRM /BATH 1 BLOCK CTRL PRK,Brooklyn,Bushwick,Private room,41,55,30/04/2019
+HIGHLY SATISFACTORY LES DWELLING++,Brooklyn,Williamsburg,Entire home/apt,120,87,03/07/2019
"SPACIOUS, MODERN LOFT IN AWESOME NEIGHBORHOOD",Bronx,Concourse Village,Private room,50,258,25/06/2019
LOFT SUITE @ THE BOX HOUSE HOTEL,Brooklyn,Williamsburg,Entire home/apt,195,31,26/05/2019
LOFT SUITE @ THE BOX HOUSE HOTEL,Brooklyn,Sheepshead Bay,Entire home/apt,70,128,15/11/2016
LARGE 1 BEDROOM FURNISHED ON UWS,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,30,24/06/2019
LOFT SUITE @ BOX HOUSE HOTEL,Queens,Sunnyside,Private room,50,258,28/05/2019
LOFT SUITE @ THE BOX HOUSE HOTEL,Brooklyn,Greenpoint,Entire home/apt,185,228,25/04/2018
LOFT SUITE @ THE BOX HOUSE HOTEL,Manhattan,West Village,Private room,80,9,30/06/2019
LOFT SUITE @ THE BOX HOUSE HOTEL,Manhattan,theatre District,Entire home/apt,230,179,19/06/2019
LOFT W/ TERRACE @ BOX HOUSE HOTEL,Brooklyn,Bushwick,Private room,40,1,21/04/2019
SUPERIOR @ BOX HOUSE,Staten Island,Emerson Hill,Private room,80,2,08/02/2018
"READ IT 1ST, A SEPRAT FUR BR, LOW $",Brooklyn,Bedford-Stuyvesant,Private room,79,152,25/06/2019
2 BR DUPLEX @ BOX HOUSE HOTEL,Queens,Long Island City,Entire home/apt,95,24,31/03/2019
"3BR, 2 BATHROOM CONDO IN BUSHWICK",Manhattan,Upper West Side,Entire home/apt,300,45,22/04/2019
"THE BLUE OWL:
VEGETARIAN WBURG W PATIO & BACKYARD!",Brooklyn,Fort Hamilton,Entire home/apt,100,7,14/11/2018
COZY 2 BEDROOM 20 MIN FROM CITY,Manhattan,Harlem,Private room,80,19,03/06/2019
NOLITA! LOCATION! LOCATION! VIEWS! FREE GYM!,Brooklyn,Bensonhurst,Entire home/apt,110,24,19/01/2019
"ENTIRE APT NYC, QUEENS. 15 MIN FROM TIMES SQUARE.",Brooklyn,Clinton Hill,Entire home/apt,172,8,14/10/2017
LUXURY CHELSEA TOWNHOUSE AT THE HIGH LINE,Manhattan,Lower East Side,Entire home/apt,199,29,03/06/2015
ALCHEMY BNB - ROOM IN ARTIST LOFT,Manhattan,Lower East Side,Entire home/apt,199,14,20/07/2015
SUNNY! 2BR STEPS TO TRAIN/RESTAURANTS - 15 TO NYC,Manhattan,Harlem,Private room,100,33,25/05/2019
